Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
EMP0001,32,2,2,3,13,Hybrid,47,7,2,2,Depression,0,Decrease,1,2,1,1,1,2
EMP0002,40,0,0,4,3,Remote,52,4,1,2,Anxiety,0,Increase,3,1,2,1,1,1
EMP0003,59,2,6,1,22,Hybrid,46,11,5,2,Anxiety,0,No Change,4,2,5,1,2,3
EMP0004,27,1,6,2,20,Onsite,32,8,4,0,Depression,1,Increase,3,2,3,1,2,2
EMP0005,49,1,5,0,32,Onsite,35,12,2,0,Burnout,1,Decrease,3,2,3,1,0,3
EMP0006,59,2,5,4,31,Hybrid,39,3,4,0,Burnout,0,Increase,5,2,1,1,0,5
EMP0007,31,3,5,4,24,Remote,51,7,3,1,Anxiety,1,Decrease,5,0,3,0,2,1
EMP0008,42,2,0,5,6,Onsite,54,7,3,2,Depression,0,Decrease,5,1,4,1,0,3
EMP0009,56,3,0,3,9,Hybrid,24,4,2,0,Burnout,1,Decrease,2,2,4,0,2,2
EMP0010,30,0,2,4,28,Hybrid,57,6,1,1,Depression,1,Decrease,2,0,1,1,2,3
EMP0011,33,2,6,2,17,Remote,48,3,3,0,Burnout,1,Decrease,4,1,2,1,0,4
EMP0012,47,0,3,0,31,Hybrid,26,12,4,2,Burnout,1,No Change,4,0,3,1,2,0
EMP0013,40,0,3,0,1,Remote,21,7,2,0,Depression,1,Decrease,2,0,1,1,1,2
EMP0014,51,2,1,5,5,Hybrid,45,13,1,1,Anxiety,0,Decrease,2,1,5,1,2,3
EMP0015,36,3,4,6,23,Remote,59,11,3,0,Anxiety,1,Decrease,5,0,3,1,0,4
EMP0016,56,0,5,3,13,Remote,44,11,4,1,Anxiety,0,No Change,5,1,4,1,0,0
EMP0017,33,3,2,1,3,Onsite,52,9,2,2,Burnout,0,No Change,1,1,1,1,1,0
EMP0018,45,2,0,0,20,Onsite,37,8,3,1,Burnout,1,Decrease,5,0,5,1,1,2
EMP0019,49,2,6,4,30,Remote,36,6,1,0,Anxiety,0,No Change,3,1,2,1,1,4
EMP0020,59,1,6,0,13,Remote,59,4,3,2,Anxiety,0,Decrease,4,0,1,0,0,5
EMP0021,26,0,5,6,33,Hybrid,21,1,2,1,Burnout,0,Increase,2,1,1,1,2,5
EMP0022,26,2,5,1,21,Onsite,54,12,3,2,Depression,0,Decrease,3,2,4,0,2,3
EMP0023,43,3,5,2,21,Onsite,57,1,3,1,Depression,1,Increase,3,1,4,0,0,0
EMP0024,53,2,3,0,11,Onsite,22,12,5,1,Depression,0,No Change,2,0,3,1,2,1
EMP0025,56,1,5,2,6,Remote,54,15,3,1,Burnout,0,Increase,2,0,4,0,0,3
EMP0026,49,1,4,3,23,Onsite,21,14,4,0,Burnout,0,No Change,4,0,3,1,1,5
EMP0027,36,2,4,6,30,Onsite,24,12,3,0,Burnout,0,Decrease,4,2,4,1,2,3
EMP0028,53,0,4,6,31,Onsite,56,4,4,1,Depression,0,No Change,4,2,4,1,2,4
EMP0029,47,3,5,4,22,Onsite,33,10,3,0,Depression,1,Decrease,4,1,1,0,2,2
EMP0030,59,1,6,3,34,Remote,25,15,2,0,Depression,1,No Change,3,1,1,1,2,3
EMP0031,22,0,0,4,22,Onsite,20,11,1,1,Anxiety,1,No Change,5,0,2,1,0,1
EMP0032,37,3,3,5,4,Hybrid,33,14,2,2,Depression,0,Decrease,3,1,5,1,0,3
EMP0033,45,3,4,5,29,Remote,20,14,2,2,Anxiety,1,Decrease,5,1,5,0,1,3
EMP0034,48,1,6,3,27,Remote,26,9,3,2,Anxiety,1,No Change,5,0,4,0,0,3
EMP0035,36,1,1,4,24,Hybrid,22,6,4,2,Depression,0,No Change,1,2,3,1,0,2
EMP0036,46,3,5,3,28,Hybrid,57,8,4,1,Burnout,1,No Change,1,0,5,1,2,2
EMP0037,48,1,5,2,10,Onsite,30,12,1,1,Depression,1,Decrease,5,1,3,1,2,1
EMP0038,31,0,1,3,18,Remote,47,14,2,1,Burnout,1,Increase,2,1,5,0,1,1
EMP0039,24,2,5,4,21,Onsite,48,12,4,1,Anxiety,1,No Change,3,0,1,1,0,0
EMP0040,49,1,3,0,20,Hybrid,20,1,3,0,Burnout,0,Increase,1,2,5,1,2,1
EMP0041,30,2,0,4,22,Remote,44,15,4,0,Burnout,0,Decrease,1,0,5,0,2,2
EMP0042,53,1,4,4,14,Onsite,29,13,2,1,Burnout,0,No Change,1,2,5,1,1,3
EMP0043,54,3,4,2,26,Remote,58,6,3,0,Burnout,1,Increase,3,2,3,1,2,2
EMP0044,54,0,1,5,12,Remote,53,12,4,2,Depression,1,No Change,1,2,3,1,0,2
EMP0045,57,3,2,6,13,Remote,23,6,3,0,Anxiety,1,No Change,5,0,2,0,1,5
EMP0046,32,1,3,6,24,Remote,42,8,2,2,Burnout,0,No Change,2,0,3,0,2,3
EMP0047,33,1,0,1,33,Remote,35,15,1,2,Burnout,1,Decrease,1,2,5,1,1,5
EMP0048,30,0,5,0,4,Remote,39,2,5,0,Burnout,0,Decrease,1,2,4,1,1,4
EMP0049,22,0,2,3,7,Onsite,29,9,4,1,Burnout,0,Increase,2,0,3,0,2,0
EMP0050,35,1,4,6,11,Onsite,37,3,4,2,Burnout,0,No Change,1,1,3,1,0,2
EMP0051,26,2,2,5,34,Onsite,28,10,4,0,Anxiety,1,Decrease,5,1,4,0,1,2
EMP0052,47,1,5,0,25,Remote,31,9,5,1,Burnout,0,Decrease,4,1,1,1,1,5
EMP0053,42,0,6,6,3,Onsite,26,14,3,2,Burnout,0,Decrease,2,1,2,0,1,5
EMP0054,60,3,4,3,34,Onsite,46,15,2,2,Depression,1,No Change,1,0,1,1,0,1
EMP0055,26,0,6,1,5,Hybrid,55,6,1,2,Burnout,1,Decrease,4,1,1,0,2,1
EMP0056,30,2,4,1,8,Hybrid,47,12,3,1,Anxiety,0,Increase,3,0,5,0,1,0
EMP0057,42,1,6,4,14,Remote,48,13,5,1,Depression,1,Increase,4,0,5,1,1,1
EMP0058,53,3,2,4,7,Onsite,49,6,5,1,Burnout,0,No Change,4,1,3,1,0,5
EMP0059,26,3,1,5,31,Remote,51,4,1,1,Burnout,0,Decrease,2,2,3,0,0,4
EMP0060,26,3,0,4,17,Remote,57,13,2,2,Burnout,1,No Change,1,1,5,0,2,4
EMP0061,25,2,5,0,4,Hybrid,33,14,4,2,Depression,1,No Change,1,2,2,0,1,2
EMP0062,33,0,5,4,14,Remote,30,15,2,2,Depression,1,Increase,5,2,5,0,1,3
EMP0063,25,2,4,2,20,Hybrid,28,4,3,2,Depression,0,No Change,3,1,2,1,2,1
EMP0064,22,0,6,3,5,Onsite,31,15,3,2,Depression,1,No Change,2,1,5,1,1,5
EMP0065,60,3,0,3,18,Hybrid,37,0,4,2,Burnout,0,No Change,2,2,2,1,1,4
EMP0066,56,1,2,2,9,Remote,31,3,4,2,Anxiety,1,Increase,4,1,4,1,2,2
EMP0067,45,2,6,4,6,Hybrid,46,3,1,2,Burnout,0,Increase,3,1,2,0,1,4
EMP0068,60,0,3,1,32,Remote,20,6,2,0,Burnout,1,Decrease,3,2,4,1,2,4
EMP0069,32,0,1,5,23,Onsite,51,8,2,0,Anxiety,1,Decrease,3,0,1,0,0,5
EMP0070,25,0,3,2,6,Remote,28,13,2,1,Burnout,0,No Change,5,0,1,0,1,3
EMP0071,43,3,3,0,23,Onsite,39,4,4,2,Anxiety,0,Increase,4,1,1,1,0,3
EMP0072,50,3,1,0,25,Remote,29,13,1,2,Depression,1,No Change,2,0,2,1,0,4
EMP0073,28,3,1,6,15,Onsite,30,14,5,0,Burnout,1,No Change,2,2,1,1,1,0
EMP0074,23,2,6,4,29,Hybrid,53,7,3,0,Anxiety,1,Decrease,1,0,1,1,2,0
EMP0075,38,3,4,0,35,Onsite,57,10,2,2,Burnout,0,No Change,3,0,3,1,2,0
EMP0076,42,1,3,6,27,Onsite,49,3,5,0,Anxiety,1,No Change,4,1,3,1,1,1
EMP0077,31,2,2,0,4,Onsite,55,8,4,0,Depression,0,No Change,1,2,2,1,1,2
EMP0078,28,0,3,3,25,Remote,37,10,5,2,Anxiety,1,No Change,1,1,1,0,0,5
EMP0079,29,1,0,5,15,Remote,51,5,2,0,Burnout,1,Increase,2,0,1,0,0,5
EMP0080,27,1,4,0,21,Hybrid,21,7,5,1,Burnout,0,No Change,4,2,3,1,0,1
EMP0081,54,0,0,1,5,Hybrid,21,10,3,0,Burnout,0,Decrease,4,1,4,1,2,1
EMP0082,42,2,6,2,33,Onsite,44,9,4,0,Depression,1,Increase,3,0,2,0,2,5
EMP0083,58,3,2,1,32,Hybrid,26,10,3,0,Depression,1,Increase,5,2,2,1,1,3
EMP0084,26,0,4,3,15,Hybrid,43,6,4,0,Burnout,1,Increase,5,2,3,1,2,2
EMP0085,56,1,1,6,9,Hybrid,42,14,4,1,Burnout,1,Decrease,2,2,5,1,1,4
EMP0086,50,1,1,2,20,Hybrid,44,8,4,1,Burnout,0,No Change,2,2,4,0,2,1
EMP0087,55,3,4,5,10,Onsite,27,0,1,1,Anxiety,0,Decrease,1,1,1,1,2,3
EMP0088,22,3,0,1,26,Hybrid,43,5,1,2,Burnout,1,Increase,2,2,2,1,2,0
EMP0089,24,0,1,0,11,Remote,38,0,5,0,Anxiety,1,Increase,5,0,2,1,2,3
EMP0090,53,3,3,3,23,Hybrid,38,4,4,1,Depression,1,Increase,5,2,4,0,2,4
EMP0091,57,0,0,6,2,Onsite,57,4,4,2,Depression,0,No Change,4,2,2,1,0,0
EMP0092,22,0,6,5,9,Onsite,60,3,1,0,Burnout,0,Decrease,3,1,5,1,1,5
EMP0093,41,1,0,4,31,Onsite,29,0,5,2,Burnout,0,Increase,3,1,5,1,2,1
EMP0094,46,2,0,1,34,Remote,54,12,4,0,Depression,1,Decrease,2,1,4,1,0,2
EMP0095,60,2,4,1,11,Onsite,31,11,5,0,Burnout,0,Decrease,2,0,4,1,0,0
EMP0096,44,0,4,5,2,Remote,54,8,5,1,Burnout,0,Decrease,1,1,3,1,1,1
EMP0097,35,1,0,3,31,Hybrid,33,11,1,0,Burnout,0,Decrease,5,0,5,1,2,0
EMP0098,48,1,1,4,32,Hybrid,25,1,4,1,Burnout,0,Increase,4,0,3,1,0,5
EMP0099,31,3,0,3,19,Onsite,21,15,1,1,Burnout,0,No Change,4,1,5,0,1,1
EMP0100,53,1,4,4,12,Hybrid,45,10,2,2,Burnout,0,Decrease,3,1,4,0,1,0
EMP0101,32,3,1,5,32,Onsite,53,5,1,2,Depression,0,Increase,5,1,1,1,2,1
EMP0102,33,3,5,0,9,Hybrid,46,12,1,0,Burnout,0,Increase,2,0,2,0,2,0
EMP0103,45,3,5,4,3,Hybrid,22,9,4,0,Burnout,0,No Change,4,1,4,1,1,0
EMP0104,50,1,6,2,18,Hybrid,60,12,4,0,Depression,1,Increase,4,1,5,1,1,0
EMP0105,41,0,1,1,30,Hybrid,42,2,4,1,Depression,1,Decrease,4,1,3,1,0,0
EMP0106,43,2,0,3,18,Onsite,60,2,3,0,Burnout,1,Increase,3,0,3,0,1,5
EMP0107,29,3,2,4,25,Onsite,35,14,1,2,Anxiety,1,Decrease,4,0,2,0,1,5
EMP0108,44,3,6,3,27,Hybrid,44,2,2,0,Anxiety,0,Decrease,2,1,5,1,2,2
EMP0109,50,3,6,3,2,Remote,50,2,4,2,Burnout,0,No Change,1,1,2,1,2,4
